pub_key,alias,addresses,outgoing_channels,incoming_channels
0205198c099c45acedf988445f71da087ca39cd80847e53a7819e8f4e45768d7d3,Midas,1,"['900931031933124608', '900931031933124612', '900931031933124613', '901141038660386816', '901141038660386818', '901141038660386821', '901141038660386824', '901141038660452352', '901141038660452353', '901141038660452354', '901141038660452356', '901141038660452357', '901141038660452359', '901464294931890177', '901464294931890179', '901464294931955712', '901464294931955714', '901464294931955716', '901464294998802433', '901804044025724928', '901804044025724929', '901808442087178241', '901933786353369088', '901933786353369089', '901933786353369090', '901933786353369091', '901933786353369092', '901933786353369093', '901933786353369094', '901933786353369096', '901933786353369098', '901933786353369103', '901933786353369104', '901933786353369107', '902648469002452992', '902648469002452995', '902648469002452998', '902648469002452999', '902659464108441601', '903055288252760064', '903055288252760065', '903055288252760067', '904365906282741760', '904365906282741762', '904365906282807296', '904378000939089920', '904385697430568961', '904979433818161152', '904979433818161154', '904979433818161155', '904979433818161157', '904979433818161159', '905442328197005312', '905442328197005313', '905867839033507841', '906034964784021505', '906034964784021506', '906302146161475586', '906302146161475587', '907277412909776896', '907319194371620865', '909219150489255937', '909426958199226369', '910264785960239105', '910533066896965632', '910545161509339136', '910545161509339137', '910557256204812290', '915306046763696128', '915306046763696129', '915306046763696131', '915306046763696132', '915331335646871552', '916084501055668224', '916084501055668225', '916084501055668226', '916084501055668227', '916084501055668228', '916084501055668230', '927565601502003201']","['INV900931031933124608', 'INV900931031933124612', 'INV900931031933124613', 'INV901141038660386816', 'INV901141038660386818', 'INV901141038660386821', 'INV901141038660386824', 'INV901141038660452352', 'INV901141038660452353', 'INV901141038660452354', 'INV901141038660452356', 'INV901141038660452357', 'INV901141038660452359', 'INV901464294931890177', 'INV901464294931890179', 'INV901464294931955712', 'INV901464294931955714', 'INV901464294931955716', 'INV901464294998802433', 'INV901804044025724928', 'INV901804044025724929', 'INV901808442087178241', 'INV901933786353369088', 'INV901933786353369089', 'INV901933786353369090', 'INV901933786353369091', 'INV901933786353369092', 'INV901933786353369093', 'INV901933786353369094', 'INV901933786353369096', 'INV901933786353369098', 'INV901933786353369103', 'INV901933786353369104', 'INV901933786353369107', 'INV902648469002452992', 'INV902648469002452995', 'INV902648469002452998', 'INV902648469002452999', 'INV902659464108441601', 'INV903055288252760064', 'INV903055288252760065', 'INV903055288252760067', 'INV904365906282741760', 'INV904365906282741762', 'INV904365906282807296', 'INV904378000939089920', 'INV904385697430568961', 'INV904979433818161152', 'INV904979433818161154', 'INV904979433818161155', 'INV904979433818161157', 'INV904979433818161159', 'INV905442328197005312', 'INV905442328197005313', 'INV905867839033507841', 'INV906034964784021505', 'INV906034964784021506', 'INV906302146161475586', 'INV906302146161475587', 'INV907277412909776896', 'INV907319194371620865', 'INV909219150489255937', 'INV909426958199226369', 'INV910264785960239105', 'INV910533066896965632', 'INV910545161509339136', 'INV910545161509339137', 'INV910557256204812290', 'INV915306046763696128', 'INV915306046763696129', 'INV915306046763696131', 'INV915306046763696132', 'INV915331335646871552', 'INV916084501055668224', 'INV916084501055668225', 'INV916084501055668226', 'INV916084501055668227', 'INV916084501055668228', 'INV916084501055668230', 'INV927565601502003201']"
02058a29920854e5088ade34a0f89ca9c89464d6d6595c2942eb13047580a1192b,AgX🗲,3,"['888205284209328129', '888214080335577089', '889051908251910144', '889809471625494528', '889836959512002561', '889882039399874561', '891181662240833544', '892568146375999492', '895089326624735233', '897354320533323776', '897363116636372992', '897370813202038784', '897895280167419904', '898098689871904768', '898445036000051200', '898445036000182273', '900634163672383489', '900918937255804929', '901897502531256321', '904714451445088256', '905688618736222209', '905971193173245953', '906220782246887425', '909985510042959873', '911185077166407681', '912584755529252864', '912585855049400320', '912617740838633473', '914471517513711617', '915060855693508609', '915098239101829120', '915136722007556097', '915136722070994945', '915365420452216835', '921320375388995585', '923066399938576385', '923348974322253825', '924974052631707649', '927952629650620417', '928337458682724352', '928809149129097217', '929544722403688449']","['INV888205284209328129', 'INV888214080335577089', 'INV889051908251910144', 'INV889809471625494528', 'INV889836959512002561', 'INV889882039399874561', 'INV891181662240833544', 'INV892568146375999492', 'INV895089326624735233', 'INV897354320533323776', 'INV897363116636372992', 'INV897370813202038784', 'INV897895280167419904', 'INV898098689871904768', 'INV898445036000051200', 'INV898445036000182273', 'INV900634163672383489', 'INV900918937255804929', 'INV901897502531256321', 'INV904714451445088256', 'INV905688618736222209', 'INV905971193173245953', 'INV906220782246887425', 'INV909985510042959873', 'INV911185077166407681', 'INV912584755529252864', 'INV912585855049400320', 'INV912617740838633473', 'INV914471517513711617', 'INV915060855693508609', 'INV915098239101829120', 'INV915136722007556097', 'INV915136722070994945', 'INV915365420452216835', 'INV921320375388995585', 'INV923066399938576385', 'INV923348974322253825', 'INV924974052631707649', 'INV927952629650620417', 'INV928337458682724352', 'INV928809149129097217', 'INV929544722403688449']"
0208d92b2d406094d794b2a6a512f585dbbdee810a870283b9c5bafc4fec8ac0aa,Eprahs,1,"['898911229016670209', '900102000153985024', '902274635006541824', '905189440400719873', '905189440400719876', '905189440400719877', '909919539399622656', '911982223192752129', '912556168214085634', '912574859947081728', '912866230451699713', '913214775643799552', '913466563821961216', '913472061381804032', '913820606686756864', '914272505954172929', '914942108425584641', '915433590110158848', '916164765419110401', '916275816043249665', '916321995526176769', '918192264836153345', '918593586537955329', '918930037251375105', '918998206916132864', '919129048849580032', '919215910198706176', '919655714878324736', '919985568317833217', '920335213042663425', '920414377785425921', '921057592137940993', '921231314997280769', '921585357669990401', '921776672722780160', '921836046330036224', '921995475551518720', '922484758217031680', '923064200908308481', '923107081829154817', '923107081868148740', '923107081868541959', '923451228970221569', '924026273633402880', '924389112434589697', '924390212039344129', '924495765115305985', '924543044043538433', '924660691670597632', '924726662472531969', '924726662472531970', '924754150335578112', '924965256495759361', '925245631945441280', '925554594744303617', '925682138196869123', '925796487268728833', '926157127066255361', '926160425567584257', '926285770065444865', '926374830384873472', '926978462367285248', '927529317654331392', '927607383042752512', '927626074613874688', '927648064840400896', '927653562338377728', '927677751782342657', '927701940964622337', '927986714527268864', '928140646204571648', '928471598990557185', '929292934182862849', '929292934182862850', '929292934182862851', '929292934182862852', '929615091204161537', '929621688277532673', '930126364017491969', '931793223665582080', '931899876346232833']","['INV898911229016670209', 'INV900102000153985024', 'INV902274635006541824', 'INV905189440400719873', 'INV905189440400719876', 'INV905189440400719877', 'INV909919539399622656', 'INV911982223192752129', 'INV912556168214085634', 'INV912574859947081728', 'INV912866230451699713', 'INV913214775643799552', 'INV913466563821961216', 'INV913472061381804032', 'INV913820606686756864', 'INV914272505954172929', 'INV914942108425584641', 'INV915433590110158848', 'INV916164765419110401', 'INV916275816043249665', 'INV916321995526176769', 'INV918192264836153345', 'INV918593586537955329', 'INV918930037251375105', 'INV918998206916132864', 'INV919129048849580032', 'INV919215910198706176', 'INV919655714878324736', 'INV919985568317833217', 'INV920335213042663425', 'INV920414377785425921', 'INV921057592137940993', 'INV921231314997280769', 'INV921585357669990401', 'INV921776672722780160', 'INV921836046330036224', 'INV921995475551518720', 'INV922484758217031680', 'INV923064200908308481', 'INV923107081829154817', 'INV923107081868148740', 'INV923107081868541959', 'INV923451228970221569', 'INV924026273633402880', 'INV924389112434589697', 'INV924390212039344129', 'INV924495765115305985', 'INV924543044043538433', 'INV924660691670597632', 'INV924726662472531969', 'INV924726662472531970', 'INV924754150335578112', 'INV924965256495759361', 'INV925245631945441280', 'INV925554594744303617', 'INV925682138196869123', 'INV925796487268728833', 'INV926157127066255361', 'INV926160425567584257', 'INV926285770065444865', 'INV926374830384873472', 'INV926978462367285248', 'INV927529317654331392', 'INV927607383042752512', 'INV927626074613874688', 'INV927648064840400896', 'INV927653562338377728', 'INV927677751782342657', 'INV927701940964622337', 'INV927986714527268864', 'INV928140646204571648', 'INV928471598990557185', 'INV929292934182862849', 'INV929292934182862850', 'INV929292934182862851', 'INV929292934182862852', 'INV929615091204161537', 'INV929621688277532673', 'INV930126364017491969', 'INV931793223665582080', 'INV931899876346232833']"
0208dfa005c47a8ae85363d12c54007a38550ca0d6f1c559ee11caaac8221eccd6,μbolt|ln,3,"['878857236319961089', '887333371492433920', '889081595009630209', '889110182463012864', '889111281929748481', '889315791023702016', '889315791023702017', '890199798289530881', '890823221406793728', '890970556046114821', '891017834986799105', '891176164675158022', '891655551753846784', '891964514511355905', '892806740419608578', '892999154890833921', '892999154890833922', '894035994334003200', '908379123678380032', '908398914821554177', '909509421523795969', '909509421523795970', '926380327960444929', '927861370093961217', '927911947690770433', '928020799380979713', '928020799380979714', '929538125330972673']","['INV878857236319961089', 'INV887333371492433920', 'INV889081595009630209', 'INV889110182463012864', 'INV889111281929748481', 'INV889315791023702016', 'INV889315791023702017', 'INV890199798289530881', 'INV890823221406793728', 'INV890970556046114821', 'INV891017834986799105', 'INV891176164675158022', 'INV891655551753846784', 'INV891964514511355905', 'INV892806740419608578', 'INV892999154890833921', 'INV892999154890833922', 'INV894035994334003200', 'INV908379123678380032', 'INV908398914821554177', 'INV909509421523795969', 'INV909509421523795970', 'INV926380327960444929', 'INV927861370093961217', 'INV927911947690770433', 'INV928020799380979713', 'INV928020799380979714', 'INV929538125330972673']"
02092578a4b526c60db1d37dc42a593039146af880696b93314f98b9c17c318f88,LoudWhisper,1,"['887305883753119744', '888708860755968001', '891168468025344001', '896016214760816641', '896189937917165569', '896633041008132097', '908378024133328897']","['INV887305883753119744', 'INV888708860755968001', 'INV891168468025344001', 'INV896016214760816641', 'INV896189937917165569', 'INV896633041008132097', 'INV908378024133328897']"
020b89502397dede9af0a453e438f611209a91db26d7b5f6de26a43de5ffe6af20,Domitai Bitcoin,3,"['892952975502540803', '892985960762310656', '892985960762507264', '913829402629832704', '913832701191716864', '914141664101597184', '914228525487685633', '914228525489979392', '915367619618406401', '915367619618471936', '917107046826639360', '920867376617881600', '920867376617947137', '921027905292664832', '921027905292730369', '921315977307684864', '921318176359710720', '921318176359776257', '921318176360366080', '921321474861301760', '921321474861367296', '921356659314720768', '921533680646160385', '921533680646422528', '922539733750710273', '922541932781305856', '922541932781371393', '922541932781830145', '923107081829154826', '923107081868148748', '923107081868541963', '925463335259471872', '925521609283272704', '926143932884123648', '926143932884189184', '926143932886024192', '927109304082104321', '927874564155899905', '927874564156030976']","['INV892952975502540803', 'INV892985960762310656', 'INV892985960762507264', 'INV913829402629832704', 'INV913832701191716864', 'INV914141664101597184', 'INV914228525487685633', 'INV914228525489979392', 'INV915367619618406401', 'INV915367619618471936', 'INV917107046826639360', 'INV920867376617881600', 'INV920867376617947137', 'INV921027905292664832', 'INV921027905292730369', 'INV921315977307684864', 'INV921318176359710720', 'INV921318176359776257', 'INV921318176360366080', 'INV921321474861301760', 'INV921321474861367296', 'INV921356659314720768', 'INV921533680646160385', 'INV921533680646422528', 'INV922539733750710273', 'INV922541932781305856', 'INV922541932781371393', 'INV922541932781830145', 'INV923107081829154826', 'INV923107081868148748', 'INV923107081868541963', 'INV925463335259471872', 'INV925521609283272704', 'INV926143932884123648', 'INV926143932884189184', 'INV926143932886024192', 'INV927109304082104321', 'INV927874564155899905', 'INV927874564156030976']"
020cb9b93492969c03d4dd24441e56b6a2c40361fc2033cdef43779dad72b43592,retiringon.bitcoin [myNode],3,"['877625783344889857', '877890765573980161', '877890765595672577', '878134857221144577', '879048551373012993', '879179393240137729', '879242065450893313', '879427882885382145', '879427882885382146', '879427882885382147', '880360268749275136', '880361368182980610', '880395453187162112', '880508702793334785', '881273962904682498', '881273962904682499', '881273962904682500', '881569731486023681', '883154127811641345', '885377340313894913', '890009582835138561', '890020577862877186', '890021677469466625', '890101941903360000', '891332295388889089', '891965613937459201', '892042579838238720', '892546156145541120', '892633017654837249', '892703386249920513', '892719878912147458', '892719878912147459', '892760560833658880', '893766613971894274', '895043147046256641', '895438971287044097', '895455463957331968', '895811705700745217', '898725411476144129', '898725411476144131', '904149302428499970', '904149302428499971', '905183942700695554', '906436286597496835', '910258188990611456', '910566052311662593', '910566052313235456', '912747483302526977', '913344518092619777', '914967397304565761', '915199394169815041', '916888244071890945', '926083460034134017', '928036192480395264']","['INV877625783344889857', 'INV877890765573980161', 'INV877890765595672577', 'INV878134857221144577', 'INV879048551373012993', 'INV879179393240137729', 'INV879242065450893313', 'INV879427882885382145', 'INV879427882885382146', 'INV879427882885382147', 'INV880360268749275136', 'INV880361368182980610', 'INV880395453187162112', 'INV880508702793334785', 'INV881273962904682498', 'INV881273962904682499', 'INV881273962904682500', 'INV881569731486023681', 'INV883154127811641345', 'INV885377340313894913', 'INV890009582835138561', 'INV890020577862877186', 'INV890021677469466625', 'INV890101941903360000', 'INV891332295388889089', 'INV891965613937459201', 'INV892042579838238720', 'INV892546156145541120', 'INV892633017654837249', 'INV892703386249920513', 'INV892719878912147458', 'INV892719878912147459', 'INV892760560833658880', 'INV893766613971894274', 'INV895043147046256641', 'INV895438971287044097', 'INV895455463957331968', 'INV895811705700745217', 'INV898725411476144129', 'INV898725411476144131', 'INV904149302428499970', 'INV904149302428499971', 'INV905183942700695554', 'INV906436286597496835', 'INV910258188990611456', 'INV910566052311662593', 'INV910566052313235456', 'INV912747483302526977', 'INV913344518092619777', 'INV914967397304565761', 'INV915199394169815041', 'INV916888244071890945', 'INV926083460034134017', 'INV928036192480395264']"
020cc974f733c32907b1a8cd7da6fc6c896e8eb45e1a1c3ec28a46b69b2fefe4ff,Teilcorner,1,"['916616664649433088', '916667242153574401', '917779947951554561', '919325861359255553', '921907514700857345', '922173596554952704', '926169221691146240', '926460592499064832', '926460592503848961']","['INV916616664649433088', 'INV916667242153574401', 'INV917779947951554561', 'INV919325861359255553', 'INV921907514700857345', 'INV922173596554952704', 'INV926169221691146240', 'INV926460592499064832', 'INV926460592503848961']"
020d1617e27ac022395352f2b3774969593d3d6ddff6fb117d820a9dda8da45217,i'llTryAnythingOnce,3,"['878086478724071425', '879153004992724992', '882108492314771456', '889658838575874049', '890174509675511808', '890289958200803328', '890336137740222464', '890851808714555392', '890991446632693760', '891176164674568202', '891263026014126081', '891539003450982401', '891885349686149121', '892341646932508673', '892834228218560513', '892872711032799233', '893040936464744449', '893537915591065600', '893973322334863361', '894160239176515585', '894420823559962624', '894420823559962625', '895215770392199168', '895215770392199170', '895938149474631681', '898401055528779776', '900663850544594946', '904043749299322887', '913244462533050368', '914147161649184769', '914147161649184770', '916441842373361665', '916613366151053312', '918180170155753473', '919793153892220929', '921579860093239297', '921595253492744193', '925261025176059905', '926658504343945216', '926658504343945217', '926658504343945218', '927025741415251968', '927025741415251969', '927025741415251970', '927102707199180807', '929797610251157505']","['INV878086478724071425', 'INV879153004992724992', 'INV882108492314771456', 'INV889658838575874049', 'INV890174509675511808', 'INV890289958200803328', 'INV890336137740222464', 'INV890851808714555392', 'INV890991446632693760', 'INV891176164674568202', 'INV891263026014126081', 'INV891539003450982401', 'INV891885349686149121', 'INV892341646932508673', 'INV892834228218560513', 'INV892872711032799233', 'INV893040936464744449', 'INV893537915591065600', 'INV893973322334863361', 'INV894160239176515585', 'INV894420823559962624', 'INV894420823559962625', 'INV895215770392199168', 'INV895215770392199170', 'INV895938149474631681', 'INV898401055528779776', 'INV900663850544594946', 'INV904043749299322887', 'INV913244462533050368', 'INV914147161649184769', 'INV914147161649184770', 'INV916441842373361665', 'INV916613366151053312', 'INV918180170155753473', 'INV919793153892220929', 'INV921579860093239297', 'INV921595253492744193', 'INV925261025176059905', 'INV926658504343945216', 'INV926658504343945217', 'INV926658504343945218', 'INV927025741415251968', 'INV927025741415251969', 'INV927025741415251970', 'INV927102707199180807', 'INV929797610251157505']"
020f744caa3a20c3195de8752024f98edf1100b072db7bc5d582d64a860132e7c0,lpslnd,1,"['885366345192374272', '885386136368840705', '885407027089571840', '885533470997217280', '886284437512650753', '886284437512650754', '886515334863257600', '886515334863257601', '886515334863257602', '886515334863257603', '886839690839457797', '887256405695463425', '887381750019850240', '888294344616116225', '888294344616116226', '888294344616116227', '889727008292536320', '890203096890540033', '890580229260902401', '890812226340847616', '890859505324982273', '891263026016354305', '891293812452753409', '891354285441679360', '891591779980279809', '891814980868112385', '892340547442966529', '892835327668584448', '893915048025980929', '897846901872132102', '900307608731975680', '914206535175962624', '923107081829154831', '923107081868148738', '923107081868541966']","['INV885366345192374272', 'INV885386136368840705', 'INV885407027089571840', 'INV885533470997217280', 'INV886284437512650753', 'INV886284437512650754', 'INV886515334863257600', 'INV886515334863257601', 'INV886515334863257602', 'INV886515334863257603', 'INV886839690839457797', 'INV887256405695463425', 'INV887381750019850240', 'INV888294344616116225', 'INV888294344616116226', 'INV888294344616116227', 'INV889727008292536320', 'INV890203096890540033', 'INV890580229260902401', 'INV890812226340847616', 'INV890859505324982273', 'INV891263026016354305', 'INV891293812452753409', 'INV891354285441679360', 'INV891591779980279809', 'INV891814980868112385', 'INV892340547442966529', 'INV892835327668584448', 'INV893915048025980929', 'INV897846901872132102', 'INV900307608731975680', 'INV914206535175962624', 'INV923107081829154831', 'INV923107081868148738', 'INV923107081868541966']"
